 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Keyword research status,Status,Headline,Icon Pages,Link pointing to,Cilckable link,Bottom-text,Icon page created?,Text in plugin,,Comments
SeaLife,"fish, fishes, dolphin, whale, whale","crab, crabs",,Done,Please integrate into plugin,Do you love marine life?,https://www.ultimatelysocial.com/sealife-themed-icons/,https://www.ultimatelysocial.com/SeaLife-themed-icons/?utm_source=any_settings_page&utm_campaign=SeaLife_icons&utm_medium=banner,https://www.ultimatelysocial.com/SeaLife-themed-icons/?utm_source=any_settings_page&utm_campaign=SeaLife_icons&utm_medium=banner,,,,,
Science,"science, sciences, scientific, scientist, scientists, physics, quantum, astronomy, mathematic, robotics, nasa, mathematica, Invention, inventions, genious, gizmo, gizmos, contraption, contraptions, novelty, novelties",math,,Done,Please integrate into plugin,Are you into science?,https://www.ultimatelysocial.com/science-themed-icons/,https://www.ultimatelysocial.com/Science-themed-icons/?utm_source=any_settings_page&utm_campaign=Science_icons&utm_medium=banner,https://www.ultimatelysocial.com/Science-themed-icons/?utm_source=any_settings_page&utm_campaign=Science_icons&utm_medium=banner,,,,,
Hunting,"hunting, hunter, poaching, poach, falconry, falconer",,,Done,Please integrate into plugin,Is your website about hunting?,https://www.ultimatelysocial.com/hunting-themed-icons/,https://www.ultimatelysocial.com/Hunting-themed-icons/?utm_source=any_settings_page&utm_campaign=Hunting_icons&utm_medium=banner,https://www.ultimatelysocial.com/Hunting-themed-icons/?utm_source=any_settings_page&utm_campaign=Hunting_icons&utm_medium=banner,,,,,
Flags,"canada, italy, india, germany, philippines, japan, korea, switzerland, finland, china, taiwan, spain, argentina, france, turkey, iran, iraq, syria, lebanon, united kingdom, thailand, russia, ukraine, pakistan, ethiopia, egypt, netherlands, singapore, sweden, ireland, canadian, italian, italiano, indian, german, filipino, pinoy, pinay, japanese, nihon, korean, finnish, chinese, taiwanese, spanish, argentino, french, turkish, iranian, syrian, lebanese, english, thai, russian, ukrain, pakistani, ethiopian, egyptian, singaporean, swedish, irish, indonesia, indonesian, malaysia, malaysian","usa, uae, uk",,Done,Please integrate into plugin,Your site is about a certain country? ,https://www.ultimatelysocial.com/flags-themed-icons/,https://www.ultimatelysocial.com/Flags-themed-icons/?utm_source=any_settings_page&utm_campaign=Flags_icons&utm_medium=banner,https://www.ultimatelysocial.com/Flags-themed-icons/?utm_source=any_settings_page&utm_campaign=Flags_icons&utm_medium=banner,,,,,
Jewelry,"jewel, jewelry, earring, pendant, necklace, watches","diamond, diamonds, watch",,Done,Please integrate into plugin,Your site is about jewlery?,https://www.ultimatelysocial.com/jewelry-themed-icons/,https://www.ultimatelysocial.com/Jewelry-themed-icons/?utm_source=any_settings_page&utm_campaign=Jewelry_icons&utm_medium=banner,https://www.ultimatelysocial.com/Jewelry-themed-icons/?utm_source=any_settings_page&utm_campaign=Jewelry_icons&utm_medium=banner,,,,,
Family,"parenthood, motherhood, pregnancy, fatherhood, infantile","mother, mom, moms mothers, father, mommy, mama","mothership, motherships",Done,Please integrate into plugin,Is your site about family?,https://www.ultimatelysocial.com/family-themed-icons/,https://www.ultimatelysocial.com/Family-themed-icons/?utm_source=any_settings_page&utm_campaign=Family_icons&utm_medium=banner,https://www.ultimatelysocial.com/Family-themed-icons/?utm_source=any_settings_page&utm_campaign=Family_icons&utm_medium=banner,,,,,
Communications,"antenna, telephone, GLONASS, telecommunication, satellite, networking, telecom, tel-co","GPS, GSM, CDMA, LTE, GPRS, HSDPA, HSUPA",,Done,Please integrate into plugin,Are you a telecommunications company?,https://www.ultimatelysocial.com/communications-themed-icons/,https://www.ultimatelysocial.com/Communications-themed-icons/?utm_source=any_settings_page&utm_campaign=Communications_icons&utm_medium=banner,https://www.ultimatelysocial.com/Communications-themed-icons/?utm_source=any_settings_page&utm_campaign=Communications_icons&utm_medium=banner,,,,,
Construction,"construction, bulldozer, piledriver, steamroller, excavator, prefabricate, hardhat, hard-hat, scaffold, scaffolding, cemento",cement,,Done,Please integrate into plugin,Are you a construction company?,https://www.ultimatelysocial.com/construction-themed-icons/,https://www.ultimatelysocial.com/Construction-themed-icons/?utm_source=any_settings_page&utm_campaign=Construction_icons&utm_medium=banner,https://www.ultimatelysocial.com/Construction-themed-icons/?utm_source=any_settings_page&utm_campaign=Construction_icons&utm_medium=banner,,,,,
History,"history, historian, helennistic, medieval, renaissance, romanempire, pharaoh, historic","ancient, antiquity",,Done,Please integrate into plugin,Is your site about History?,https://www.ultimatelysocial.com/history-themed-icons/,https://www.ultimatelysocial.com/History-themed-icons/?utm_source=any_settings_page&utm_campaign=History_icons&utm_medium=banner,https://www.ultimatelysocial.com/History-themed-icons/?utm_source=any_settings_page&utm_campaign=History_icons&utm_medium=banner,,,,,
Education,"education, educator, school, university, lyceum, ateneo, università. student, career, instituto, escuela, teacher, alumni, universitario, universitaria, ","edu, job, jobs","joben, jobless",Done,Please integrate into plugin,Is your site about Education?,https://www.ultimatelysocial.com/education-themed-icons/,https://www.ultimatelysocial.com/Education-themed-icons/?utm_source=any_settings_page&utm_campaign=Education_icons&utm_medium=banner,https://www.ultimatelysocial.com/Education-themed-icons/?utm_source=any_settings_page&utm_campaign=Education_icons&utm_medium=banner,,,,,
Furniture,"Furniture, sofa,","carpet, carpets, chair, chairs,",redcarpet,Done,Please integrate into plugin,Is your site about furnitures?,https://www.ultimatelysocial.com/furniture-themed-icons/,https://www.ultimatelysocial.com/Furniture-themed-icons/?utm_source=any_settings_page&utm_campaign=Furniture_icons&utm_medium=banner,https://www.ultimatelysocial.com/Furniture-themed-icons/?utm_source=any_settings_page&utm_campaign=Furniture_icons&utm_medium=banner ,,,,,
Bath,"bathroom, comfortroom,comfort-room, toilet, shower, showering, soaping, bathing, bidet,","bath, baths, soap, soaps","soapopera, soapoperas, soap-opera, soap-operas",Done,Please integrate into plugin,your website talks about toiletteries?,https://www.ultimatelysocial.com/bath-themed-icons/,https://www.ultimatelysocial.com/Bath-themed-icons/?utm_source=any_settings_page&utm_campaign=Bath_icons&utm_medium=banner,https://www.ultimatelysocial.com/Bath-themed-icons/?utm_source=any_settings_page&utm_campaign=Bath_icons&utm_medium=banner ,,,,,
Yoga,"pilates, yoga",,,Done,Please integrate into plugin,Is your site about Yoga and/or Pilates?,https://www.ultimatelysocial.com/yoga-themed-icons/,https://www.ultimatelysocial.com/Yoga-themed-icons/?utm_source=any_settings_page&utm_campaign=Yoga_icons&utm_medium=banner,https://www.ultimatelysocial.com/Yoga-themed-icons/?utm_source=any_settings_page&utm_campaign=Yoga_icons&utm_medium=banner ,,,,,
Postage,"Stamp, filatelia, filatelico, francobollo, francobolli, postage, affrancatura, philately, philatelist, philatelic, stationery, stationeries, indicia, maximaphily, postal",,,Done,Please integrate into plugin,Is your site about philately?,https://www.ultimatelysocial.com/postage-themed-icons/,https://www.ultimatelysocial.com/Postage-themed-icons/?utm_source=any_settings_page&utm_campaign=Postage_icons&utm_medium=banner,https://www.ultimatelysocial.com/Postage-themed-icons/?utm_source=any_settings_page&utm_campaign=Postage_icons&utm_medium=banner ,,,,,
Christmas,"christmas, xmas, pasko, snowman, snowmen,santaclaus, santa-claus, natale",,,Done,Please integrate into plugin,Is your site all about having a merry xmas?,https://www.ultimatelysocial.com/christmas-themed-icons/,https://www.ultimatelysocial.com/Christmas-themed-icons/?utm_source=any_settings_page&utm_campaign=Christmas_icons&utm_medium=banner,https://www.ultimatelysocial.com/Christmas-themed-icons/?utm_source=any_settings_page&utm_campaign=Christmas_icons&utm_medium=banner ,,,,,
Philosophy,"philiosophy, philosophical, filosofia, filosofico, ideology, metaphysic, ideologia, metafisica, metafisico","mind, thought","mindread, mastermind, mindset, mindsets, masterminds, mindreads, mindtrick, mindtricks, mindless, mindstorm, mindstorms",Done,Please integrate into plugin,Is your website about the science of thought?,https://www.ultimatelysocial.com/philosophy-themed-icons/,https://www.ultimatelysocial.com/Philosophy-themed-icons/?utm_source=any_settings_page&utm_campaign=Philosophy_icons&utm_medium=banner,https://www.ultimatelysocial.com/Philosophy-themed-icons/?utm_source=any_settings_page&utm_campaign=Philosophy_icons&utm_medium=banner ,,,,,
